Timestamp,Power_Output(kW),Irradiance(W/m2),Temperature(C),Humidity(%),Dust_Level(%),Voltage(V),Current(A),Efficiency(%),Maintenance_Status,Maintenance_Description
2024-01-01 06:00:00,5.2,25.3,45.2,58.1,25.4,235.1,0.02,22.1,Not Required,Normal operation
2024-01-01 09:00:00,125.8,720.4,38.9,62.3,28.7,210.5,0.60,19.2,Not Required,Normal operation
2024-01-01 12:00:00,485.6,2850.2,31.2,48.5,32.1,228.3,2.14,18.5,Not Required,Normal operation
2024-01-01 15:00:00,265.3,1125.8,25.8,42.1,35.8,225.7,1.18,26.8,Not Required,Normal operation
2024-01-01 18:00:00,45.2,180.5,28.4,45.2,38.9,220.1,0.21,24.2,Not Required,Normal operation
2024-01-02 06:00:00,4.8,22.1,44.8,59.2,42.3,234.8,0.02,21.8,Not Required,Normal operation
2024-01-02 09:00:00,118.5,695.2,39.5,63.1,45.6,208.9,0.57,18.8,Warning,Efficiency slightly declining
2024-01-02 12:00:00,465.2,2765.8,32.1,49.8,48.2,226.1,2.06,17.9,Warning,Monitor dust levels
2024-01-02 15:00:00,248.7,1089.4,26.5,43.2,52.1,223.4,1.11,25.2,Warning,Cleaning recommended
2024-01-02 18:00:00,42.1,174.2,29.1,46.8,55.4,218.7,0.19,23.1,Warning,Schedule maintenance
2024-01-03 06:00:00,3.9,18.7,46.1,60.5,65.8,233.2,0.02,20.5,Required,High dust accumulation
2024-01-03 09:00:00,95.2,625.1,41.2,64.8,68.9,205.3,0.46,16.2,Required,Efficiency below threshold
2024-01-03 12:00:00,385.4,2580.5,33.8,52.4,72.1,223.8,1.72,15.8,Required,Immediate cleaning needed
2024-01-03 15:00:00,198.5,978.2,28.1,45.6,75.8,221.1,0.90,22.1,Required,Performance degradation
2024-01-03 18:00:00,35.8,158.9,30.2,48.5,78.9,216.4,0.16,20.8,Required,Critical maintenance required
2024-01-04 06:00:00,6.1,28.9,42.3,56.8,15.2,236.4,0.03,25.8,Not Required,Post-maintenance - excellent
2024-01-04 09:00:00,142.6,785.3,36.7,59.4,18.1,212.8,0.67,22.1,Not Required,Performance restored
2024-01-04 12:00:00,520.8,3020.6,29.8,46.2,21.4,230.5,2.27,20.2,Not Required,Operating optimally
2024-01-04 15:00:00,285.9,1198.7,24.5,40.1,24.8,227.9,1.26,28.5,Not Required,Excellent efficiency
2024-01-04 18:00:00,48.7,195.3,27.1,43.8,27.9,222.6,0.22,26.8,Not Required,Normal evening operation
