Timestamp,Power_Output(kW),Irradiance(W/m2),Temperature(C),Humidity(%),Dust_Level(%),Voltage(V),Current(A),Efficiency(%),Maintenance_Status,Maintenance_Description
2020-01-01 06:00:00,2.43,13.45,42.51,59.6,86.32,234.28,0.01,18.07,Required,Cooling system check
2020-01-01 09:00:00,113.79,670.84,36.88,65.73,94.74,203.89,0.56,16.96,Required,Clean panels
2020-01-01 12:00:00,470.24,2786.83,29.43,52.42,49.64,226.99,2.07,16.87,Not Required,Normal operation
2020-01-01 15:00:00,243.28,999.31,21.54,39.13,48.61,226.72,1.07,24.34,Not Required,Normal operation
2020-01-01 18:00:00,6.36,35.63,31.12,68.19,17.74,236.68,0.03,17.85,Not Required,Normal operation
2020-01-02 06:00:00,3.94,17.5,36.69,55.6,94.42,226.15,0.02,22.51,Required,Check wiring
2020-01-02 09:00:00,66.16,316.14,41.29,38.02,53.19,206.78,0.32,20.93,Warning,Inspect inverter
2020-01-02 12:00:00,390.86,2179.84,36.67,62.73,60.63,235.02,1.66,17.93,Warning,Check shading
2020-01-02 15:00:00,171.73,855.31,41.21,66.08,68.36,227.4,0.76,20.08,Warning,Minor cleaning suggested
2020-01-02 18:00:00,5.81,31.93,43.16,41.07,91.39,212.14,0.03,18.2,Required,Cooling system check
2020-01-03 06:00:00,7.32,31.48,41.18,28.58,10.55,228.24,0.03,23.25,Warning,Minor cleaning suggested
2020-01-03 09:00:00,133.73,682.11,22.18,40.06,83.79,204.82,0.65,19.61,Required,Check wiring
2020-01-03 12:00:00,210.4,1183.62,37.32,46.46,7.32,230.62,0.91,17.78,Not Required,Normal operation
2020-01-03 15:00:00,184.07,1014.13,26.56,20.97,25.21,248.19,0.74,18.15,Not Required,Normal operation
2020-01-03 18:00:00,0.0,0.0,36.22,66.12,87.4,213.8,0.0,0.0,Required,Check wiring
2020-01-04 06:00:00,0.0,0.0,42.76,41.06,96.5,210.17,0.0,0.0,Required,Clean panels
2020-01-04 09:00:00,124.64,606.1,39.78,25.26,34.21,219.15,0.57,20.56,Warning,Inspect inverter
2020-01-04 12:00:00,485.33,2752.66,33.18,28.86,68.54,246.49,1.97,17.63,Warning,Minor cleaning suggested
2020-01-04 15:00:00,207.15,931.14,43.73,55.79,46.68,234.83,0.88,22.25,Required,Clean panels
2020-01-04 18:00:00,7.78,41.43,36.37,53.87,42.0,235.72,0.03,18.78,Not Required,Normal operation
2020-01-05 06:00:00,1.71,8.58,37.75,45.56,50.88,209.32,0.01,19.93,Not Required,Normal operation
2020-01-05 09:00:00,73.7,422.8,41.33,54.01,19.41,210.7,0.35,17.43,Warning,Inspect inverter
2020-01-05 12:00:00,459.85,2104.38,27.59,20.55,52.04,243.72,1.89,21.85,Not Required,Normal operation
2020-01-05 15:00:00,170.97,974.59,23.14,69.2,27.01,210.1,0.81,17.54,Not Required,Normal operation
2020-01-05 18:00:00,0.0,0.0,39.12,44.77,54.59,230.47,0.0,0.0,Required,Clean panels
2020-01-06 06:00:00,0.0,0.0,23.28,55.33,94.8,214.82,0.0,0.0,Required,Clean panels
2020-01-06 09:00:00,115.52,619.59,23.76,44.03,59.52,239.4,0.48,18.64,Not Required,Normal operation
2020-01-06 12:00:00,485.21,2097.69,31.5,61.48,10.89,210.44,2.31,23.13,Not Required,Normal operation
2020-01-06 15:00:00,141.62,778.92,41.1,74.95,87.44,213.87,0.66,18.18,Required,Clean panels
2020-01-06 18:00:00,0.0,0.0,30.16,46.18,32.41,230.71,0.0,0.0,Required,Cooling system check
2020-01-07 06:00:00,0.0,0.0,25.65,45.28,40.51,239.75,0.0,0.0,Required,Cooling system check
2020-01-07 09:00:00,32.84,153.9,42.19,20.56,99.53,235.67,0.14,21.34,Required,Clean panels
2020-01-07 12:00:00,326.11,1530.46,26.88,32.76,49.08,239.51,1.36,21.31,Not Required,Normal operation
2020-01-07 15:00:00,114.73,686.24,23.43,20.87,37.81,221.93,0.52,16.72,Not Required,Normal operation
2020-01-07 18:00:00,0.26,1.19,30.03,21.58,57.42,234.77,0.0,21.85,Not Required,Normal operation
2020-01-08 06:00:00,0.33,1.49,40.64,65.44,84.64,227.16,0.0,22.15,Required,Check wiring
2020-01-08 09:00:00,49.64,289.67,24.05,68.86,24.82,221.08,0.22,17.14,Not Required,Normal operation
2020-01-08 12:00:00,435.27,2182.93,29.29,22.62,95.67,210.53,2.07,19.94,Required,Clean panels
2020-01-08 15:00:00,114.47,509.45,40.87,26.67,17.78,215.02,0.53,22.47,Warning,Check shading
2020-01-08 18:00:00,0.0,0.0,24.74,43.74,67.74,219.75,0.0,0.0,Required,Cooling system check
2020-01-09 06:00:00,0.0,0.0,31.38,62.97,52.02,221.79,0.0,0.0,Required,Check wiring
2020-01-09 09:00:00,146.71,873.98,30.93,54.53,92.1,231.56,0.63,16.79,Required,Cooling system check
2020-01-09 12:00:00,286.44,1309.61,37.19,75.44,84.52,227.01,1.26,21.87,Required,Clean panels
2020-01-09 15:00:00,193.73,875.72,28.97,29.32,17.75,225.89,0.86,22.12,Not Required,Normal operation
2020-01-09 18:00:00,7.91,45.07,21.87,78.2,62.16,237.52,0.03,17.55,Warning,Check shading
2020-01-10 06:00:00,6.54,38.02,38.26,67.72,35.5,216.47,0.03,17.2,Warning,Inspect inverter
2020-01-10 09:00:00,45.37,192.73,35.61,46.72,90.87,216.79,0.21,23.54,Required,Clean panels
2020-01-10 12:00:00,446.64,2161.26,38.91,79.12,60.06,242.27,1.84,20.67,Warning,Inspect inverter
2020-01-10 15:00:00,130.9,605.15,39.35,69.59,73.49,211.56,0.62,21.63,Warning,Minor cleaning suggested
2020-01-10 18:00:00,7.75,32.59,38.99,38.38,82.15,217.87,0.04,23.78,Required,Cooling system check
2020-01-11 06:00:00,8.89,49.11,43.72,53.97,4.19,237.89,0.04,18.1,Required,Cooling system check
2020-01-11 09:00:00,74.47,400.21,20.9,73.85,22.6,224.81,0.33,18.61,Not Required,Normal operation
2020-01-11 12:00:00,342.8,1525.77,22.96,60.42,78.37,203.45,1.68,22.47,Warning,Inspect inverter
2020-01-11 15:00:00,102.65,459.87,40.1,42.88,63.95,211.31,0.49,22.32,Warning,Minor cleaning suggested
2020-01-11 18:00:00,0.0,0.0,32.98,73.42,31.15,201.97,0.0,0.0,Required,Cooling system check
2020-01-12 06:00:00,9.32,37.43,42.01,51.89,70.93,231.95,0.04,24.9,Required,Clean panels
2020-01-12 09:00:00,47.06,221.84,32.71,25.12,48.42,220.7,0.21,21.21,Not Required,Normal operation
2020-01-12 12:00:00,397.31,2313.69,28.81,43.4,63.63,228.73,1.74,17.17,Warning,Inspect inverter
2020-01-12 15:00:00,162.11,886.22,26.01,68.15,93.92,218.6,0.74,18.29,Required,Clean panels
